country,iso3,reporter_code,horizon,base_year,future_year,total_base_exports,total_future_exports,total_growth,total_gross_positive_growth,total_gross_contraction,existing_product_partner_cell_contraction_gross_positive_share,existing_product_partner_cell_growth_gross_positive_share,existing_product_partner_cell_no_change_gross_positive_share,net_new_partner_existing_product_gross_positive_share,net_new_product_gross_positive_share,new_product_partner_cell_existing_product_partner_gross_positive_share,existing_product_partner_cell_contraction_net_contribution,existing_product_partner_cell_growth_net_contribution,existing_product_partner_cell_no_change_net_contribution,net_new_partner_existing_product_net_contribution,net_new_product_net_contribution,new_product_partner_cell_existing_product_partner_net_contribution
Czech Republic,CZE,203,5,2020,2025,189811750896.0,281333960856.99994,91522209960.99994,123950373833.16676,32428163872.16677,0.0,0.9402892278362929,0.0,4.152040724723415e-06,0.024306044543732586,0.03540057557924987,-32428163872.16677,116549201301.60822,0.0,514647.0,3012743307.6012573,4387914576.957295
Denmark,DNK,208,5,2020,2025,82013979391.24301,129467360770.61304,47453381379.370026,70916900230.67465,23463518851.30466,0.0,0.7546773576860614,0.0,1.9623313984020717e-06,0.011316791834940871,0.23400388814759948,-23463518851.30466,53519378881.37158,0.0,139162.46,802551797.4898152,16594830389.353264
Egypt,EGY,818,5,2020,2025,29248755199.717,48594964397.788994,19346209198.071995,33371004304.250446,14024795106.178448,0.0,0.698436803196198,0.0,5.284864875269486e-05,0.030639281156786675,0.2708710669982625,-14024795106.178448,23307537565.70725,0.0,1763612.485,1022463583.3622677,9039239542.69593
Finland,FIN,246,5,2020,2025,59375833525.09301,80069480544.85802,20693647019.765007,38057881965.204124,17364234945.43913,0.0,0.85480601408965,0.0,0.000916506922873182,0.015344323182161508,0.12893315580531545,-17364234945.43913,32532106387.37051,0.0,34880312.291,583972440.502648,4906922825.0399685
France,FRA,251,5,2019,2024,531067994670.36017,644263935532.7589,113195940862.39874,250472482930.92365,137276542068.52464,0.0,0.8924856772580839,0.0,2.2593512124685875e-06,0.028702054939041096,0.07881000845166247,-137276542068.52464,223543103563.11926,0.0,565905.308,7189074965.801404,19739738496.694977
Georgia,GEO,268,5,2019,2024,3682118843.0199995,6550108704.082001,2867989861.062001,4752002317.802082,1884012456.7400823,0.0,0.8613258227741486,0.0,0.0028756987076387934,0.02558844716218128,0.11021003135603134,-1884012456.7400823,4093022306.2055397,0.0,13665326.923999999,121596360.22364154,523718324.44890106
Germany,DEU,276,5,2020,2025,1338950409601.7048,1700081716654.905,361131307053.2002,582423304949.7048,221291997896.50488,0.0,0.9633321382902268,0.0,0.0007093195268932868,0.0014220924464077337,0.034536449736472144,-221291997896.50488,561067087747.26,0.0,413124223.11854917,828259782.5808033,20114833196.74547
Greece,GRC,300,5,2019,2024,33840513168.770004,51739864856.452995,17899351687.68299,27336616410.225933,9437264722.542933,0.0,0.7518926001538635,0.0,1.752616211934622e-05,0.14711674207065495,0.10097313161336217,-9437264722.542933,20554199592.09355,0.0,479105.9710000001,4021673945.507642,2760263766.6537395
Guyana,GUY,328,5,2020,2025,5195921811.127001,24374582581.576004,19178660770.449005,21157912263.656693,1979251493.2076943,0.0,0.7268298109536973,0.0,0.020490015593394577,0.004228932703242493,0.24845124074966565,-1979251493.2076943,15378201370.768507,0.0,433525952.206,89475387.10411319,5256709553.578073
Hungary,HUN,348,5,2020,2025,114184913119.00002,154698295476.449,40513382357.44899,72777175516.0941,32263793158.645107,0.0,0.9202902288948196,0.0,7.777794495127437e-05,0.040029229480157844,0.039602763680071276,-32263793158.645107,66976123514.024704,0.0,5660459.151,2913214259.6514554,2882177283.266944
Iceland,ISL,352,5,2020,2025,4545432326.702,7109127883.87,2563695557.168,3646764795.65945,1083069238.4914496,0.0,0.9248005987548656,0.0,0.000792050743836821,0.014795550385400027,0.0596118001158975,-1083069238.4914496,3372530266.5440245,0.0,2888422.769,53955892.27788243,217390214.06854293
India,IND,699,5,2019,2024,309653810485.44305,428574665942.98505,118920855457.54199,208308568537.25003,89387713079.70802,0.0,0.8805723662780283,0.0,2.8055211751670895e-07,0.010884125956649027,0.1085432272132052,-89387713079.70802,183430769112.83508,0.0,58441.409999999996,2267256697.808686,22610484285.19626
Ireland,IRL,372,5,2019,2024,169666016129.23798,241995087870.66806,72329071741.43008,118371324474.3023,46042252732.87232,0.0,0.9055483374858041,0.0,4.088841424639747e-06,0.001135355261529722,0.09331221841124164,-46042252732.87232,107190956083.69713,0.0,484001.575,134393506.05614108,11045490882.97405
Italy,ITA,380,5,2020,2025,470541764322.7261,699622115360.9672,229080351038.2411,309459622003.7597,80379270965.5187,0.0,0.8887434941595342,0.0,8.19368405345365e-07,0.07851703356403267,0.03273865290802766,-80379270965.5187,275030225760.9101,0.0,253561.437,24297851527.58206,10131291153.830528
Japan,JPN,392,5,2020,2025,600218860752.1661,639063474470.572,38844613718.40588,171641620947.5446,132797007229.1386,0.0,0.9764008720749607,0.0,0.00017197593774776265,0.0008459312753009848,0.022581220711990587,-132797007229.1386,167591028377.5424,0.0,29518228.719,145197015.3028846,3875877325.980331
Korea,KOR,410,5,2020,2025,511518299843.0,708976964820.0,197458664977.0,312304704674.4709,114846039697.47089,0.0,0.9359445788483767,0.0,8.871784377657789e-08,0.009519468260744984,0.05453586417303449,-114846039697.47089,292299895288.9143,0.0,27707.0,2972974723.8299613,17031806954.726595
Kyrgyzstan,KGZ,417,5,2020,2025,1858639250.0000002,2604988322.0,746349071.9999998,1916247811.5055583,1169898739.5055583,0.0,0.4015378014008625,0.0,0.001491731748818633,0.0750814708024846,0.5218889960478343,-1169898739.5055583,769445933.1711562,0.0,2858527.6990270647,143874704.10987958,1000068646.5254954
Luxembourg,LUX,442,5,2020,2025,12516491575.915,16337964204.453001,3821472628.538,7357232227.007619,3535759598.4696193,0.0,0.778237054068512,0.0,0.0005768040253537052,0.1455497805535481,0.07563636135258622,-3535759598.4696193,5725670734.444327,0.0,4243681.164,1070843536.122451,556474275.2768409
Mauritania,MRT,478,5,2019,2024,2264863618.99,4149547480.4070005,1884683861.4170008,3335609097.6163187,1450925236.1993184,0.0,0.06948515497584325,0.0,0.0007783450563362855,0.8829497860988825,0.04678671386893802,-1450925236.1993184,231775315.08670256,0.0,2596254.8510000003,2945175339.249815,156062188.42880124
Mexico,MEX,484,5,2020,2025,383701820488.0,591427761790.0,207725941302.0,252860582392.39722,45134641090.39721,0.0,0.9308924614126837,0.0,0.03523835659831143,0.012344243622710806,0.021524938366294002,-45134641090.39721,235386009937.50336,0.0,8910391372.0,3121372631.63229,5442808451.261557
Morocco,MAR,504,5,2019,2024,29582399076.022,80525530850.75201,50943131774.73001,56961707431.43162,6018575656.701609,0.0,0.8495335239600371,0.0,0.0015416150275609792,0.0022823646965230374,0.1466424963158787,-6018575656.701609,48390880045.00474,0.0,87813024.17182688,130007390.09517346,8353006972.159871
Mozambique,MOZ,508,5,2019,2024,4752618569.736,8191933249.900001,3439314680.1640005,5095916132.362244,1656601452.1982443,0.0,0.4409063962821983,0.0,0.019500482432309008,0.3087643926216924,0.23082872866380047,-1656601452.1982443,2246822017.6761546,0.0,99372823.01565,1573437449.459912,1176283842.210528
Netherlands,NLD,528,5,2020,2025,487953442771.555,722572350104.6328,234618907333.07782,340078560628.63196,105459653295.55399,0.0,0.8025541577970118,0.0,2.9075935224266824e-07,0.1628400425625069,0.03460550888112913,-105459653295.55399,272931462810.13174,0.0,98881.022,55378407287.36251,11768591650.115734
New Zealand,NZL,554,5,2020,2025,29195585762.810997,46912296018.22001,17716710255.40901,24491455165.430367,6774744910.021362,0.0,0.45257074580536283,0.0,0.00015632506419643454,0.012888649493401726,0.5343842796370388,-6774744910.021362,11084116130.077427,0.0,3828628.301,315661781.2105952,13087848625.841341
Niger,NER,562,5,2019,2024,695923142.195,1007786657.4240003,311863515.2290002,922053719.8650874,610190204.6360874,0.0,0.11277011367759397,0.0,0.004223963729108826,0.831854135392959,0.051151787200338146,-610190204.6360874,103980102.8060343,0.0,3894721.4689999996,767014199.9242339,47164695.66581915
North Macedonia,MKD,807,5,2019,2024,7189840814.657,8413033233.210001,1223192418.5530014,3494431274.0335655,2271238855.480566,0.0,0.7244525921601717,0.0,0.0004523658432622006,0.12763855294049856,0.14745648905606762,-2271238855.480566,2531549794.599188,0.0,1580761.3499999999,446024151.16766703,515276566.91671085
Norway,NOR,579,5,2020,2025,77391932727.602,169757780099.772,92365847372.17,106973715163.86969,14607867791.699682,0.0,0.8660328639032909,0.0,3.3061681410075294e-06,0.0009723019065661461,0.13299152802200181,-14607867791.699682,92642752905.74097,0.0,353673.08900000004,104010747.20629436,14226597837.833416
Panama,PAN,591,5,2020,2025,8652773550.0,1670499364.0,-6982274186.0,1171991328.2423365,8154265514.242336,0.0,0.4507756293518053,0.0,0.008929515236000152,0.1585729098122121,0.3817219455999824,-8154265514.242336,528305128.5832975,0.0,10465314.422,185846075.19406667,447374810.0429723
Peru,PER,604,5,2019,2024,39928137777.55001,74053783276.54,34125645498.989983,39748805370.6768,5623159871.6868,0.0,0.7161376219196951,0.0,9.913175913726605e-05,0.24461847454765165,0.03914477177351594,-5623159871.6868,28465614952.30529,0.0,3940369.0,9723292134.866463,1555957914.5050483
Poland,POL,616,5,2019,2024,238579179569.0,379704654454.0,141125474885.0,189346974604.09406,48221499719.094055,0.0,0.7887128680655514,0.0,5.641494944577284e-08,0.0483112368978949,0.16297583862160417,-48221499719.094055,149340395399.53015,0.0,10682.0,9147586545.998077,30858981976.565815
Russia,RUS,643,5,2016,2021,256529741493.51004,417826891022.18304,161297149528.673,212890663835.52203,51593514306.84903,0.0,0.855914761822232,0.0,4.720016269836702e-05,0.035222776268299505,0.10881526174677007,-51593514306.84903,182216261830.9577,0.0,10048473.97,7498600221.888353,23165753308.705967
Rwanda,RWA,646,5,2017,2022,942567241.8920001,2019269801.9399996,1076702560.0479994,1576330738.868707,499628178.820707,0.0,0.4415943777401018,0.0,0.0006417135045694573,0.10836299771521858,0.44940091104011015,-499628178.820707,696098791.7433215,0.0,1011552.7228,170815924.25445852,708404470.1481268
Senegal,SEN,686,5,2019,2024,4067248726.1989994,6305879310.250999,2238630584.052,3259922013.430256,1021291429.3782555,0.0,0.5664987922985008,0.0,0.005695726389905813,0.038651685824897725,0.38915379548669565,-1021291429.3782555,1846741883.595537,0.0,18567623.8409296,126001481.47677428,1268611024.517015
Singapore,SGP,702,5,2019,2024,368336640925.22,470216803889.96606,101880162964.7461,184942371943.4795,83062208978.73349,0.0,0.9700154304987189,0.0,2.9254369040175776e-06,0.004501352232558632,0.025480291831818633,-83062208978.73349,179396954538.20844,0.0,541037.24,832490758.8424704,4712385609.188604
Slovakia,SVK,703,5,2020,2025,86895514008.74799,129537169317.173,42641655308.42502,61069638798.871,18427983490.446003,0.0,0.9385781919144958,0.0,0.00026932192072018715,0.0012570815663908593,0.05989540459839325,-18427983490.446003,57318631164.71568,0.0,16447392.419000002,76769517.20020875,3657790724.5361133
Slovenia,SVN,705,5,2020,2025,37367134718.82201,80494567523.31898,43127432804.49698,51635893080.67167,8508460276.174668,0.0,0.9644852261961864,0.0,1.4410294944206688e-05,0.0017738534094546108,0.03372651009941477,-8508460276.174668,49802056017.75371,0.0,744088.449,91594504.99138318,1741498469.477574
South Africa,ZAF,710,5,2020,2025,79789729571.23502,113479288210.96603,33689558639.731018,57892226704.9225,24202668065.1915,0.0,0.8007289400312654,0.0,6.973180303767354e-06,0.0928590947668135,0.10640499202161745,-24202668065.1915,46355981325.48231,0.0,403692.935,5375819765.85425,6160021920.650948
Spain,ESP,724,5,2020,2025,292463650368.45605,432101131252.323,139637480883.86694,204476944011.65427,64839463127.78726,0.0,0.9429390389940128,0.0,7.400599746413226e-07,0.0032643395334628167,0.053795881412549755,-64839463127.78726,192809293082.78183,0.0,151325.202,667482172.018906,11000017431.65153
Sweden,SWE,752,5,2020,2025,149649473885.702,206020136012.18604,56370662126.48404,93091260165.21507,36720598038.73108,0.0,0.9145895261010779,0.0,7.491663436097699e-07,0.0006498741499608591,0.08475985058261767,-36720598038.73108,85140291518.6562,0.0,69740.83899999999,60497603.56865433,7890401302.151218
Switzerland,CHE,757,5,2020,2025,313569766559.2101,548429849047.84814,234860082488.63806,281182219879.2755,46322137390.63752,0.0,0.9812983271978246,0.0,1.719588049370961e-06,0.0022714462570863755,0.016428506957039738,-46322137390.63752,275923642005.30396,0.0,483517.585,638690300.9040186,4619404055.482555
Turkey,TUR,792,5,2020,2025,159724636375.0,263581474950.00003,103856838575.00003,145967256849.76254,42110418274.762535,0.0,0.8808013254213465,0.0,1.4379560493901372e-05,0.00030343652769895715,0.11888085849046068,-42110418274.762535,128568153301.38896,0.0,2098945.0,44291797.57623377,17352712805.797348
Uganda,UGA,800,5,2019,2024,3518810939.0799994,8039344375.930001,4520533436.850002,5343340098.9199705,822806662.0699707,0.0,0.7445834186056696,0.0,0.0009055042539736467,0.02472163710302578,0.229789440037331,-822806662.0699707,3978562437.6265883,0.0,4838417.1899999995,132096114.84354538,1227843129.259837
United Arab Emirates,ARE,784,5,2018,2023,289668003768.5751,551400163099.8772,261732159331.30212,334399939528.03,72667780196.72795,0.0,0.8288614956662848,0.0,0.00497818375757074,0.00446113172337063,0.1616991888527737,-72667780196.72795,277171234027.91815,0.0,1664704347.491077,1491802178.5217152,54072198974.09904
United Kingdom,GBR,826,5,2020,2025,370911813930.4429,539421581994.9211,168509768064.4782,278816139570.17786,110306371505.69987,0.0,0.8781253496788453,0.0,0.024578744916130373,0.031887191586501225,0.0654087138185232,-110306371505.69987,244835520056.16815,0.0,6852950772.995605,8890663659.882927,18237005081.131187
United States,USA,842,5,2020,2025,1266635497202.0002,1936867520410.9998,670232023208.9995,876220834291.6782,205988811082.67834,0.0,0.9191114244223192,0.0,7.70293256660138e-07,0.05083800319849136,0.03004980208593287,-205988811082.67834,805344579114.3373,0.0,674947.0,44545317576.30511,26330262654.03591
Zimbabwe,ZWE,716,5,2019,2024,4277771247.25,7422001438.787999,3144230191.537999,5653792484.866033,2509562293.3280325,0.0,0.7777239973161857,0.0,0.022559254944253974,0.006386281101237428,0.1933304666383228,-2509562293.3280325,4397090091.326221,0.0,127545346.068,36106708.09641814,1093050339.3753927
Armenia,ARM,51,10,2014,2024,1490088062.0,13070809687.664,11580721625.664,12180530902.442717,599809276.7787149,0.0,0.27945575630280933,0.0,0.0022550743843586926,0.5897431686134165,0.12854600069941544,-599809276.7787149,3403919475.51187,0.0,27468003.22598804,7183384889.800204,1565758533.9046528
Australia,AUS,36,10,2015,2025,180696783121.00003,329885127635.96906,149188344514.96902,189779021274.0382,40590676759.06921,0.0,0.9029547128700919,0.0,0.007538311520846208,0.0062819946757047985,0.0832249809333571,-40590676759.06921,171361861663.26624,0.0,1430613382.485,1192190801.2039757,15794355427.083002
Austria,AUT,40,10,2014,2024,160274487289.756,196833063593.018,36558576303.26199,94184399208.67578,57625822905.41377,0.0,0.8888222222319239,0.0,3.349740930034391e-06,0.01201248136838771,0.09916194665875841,-57625822905.41377,83713187004.23386,0.0,315493.337,1131388340.687008,9339508370.417915
Azerbaijan,AZE,31,10,2015,2025,12432791395.52,24975233520.13,12542442124.61,17799383578.768906,5256941454.158906,0.0,0.5569014858911322,0.0,0.00743638745299487,0.046815648052397504,0.38884647860347543,-5256941454.158906,9912503162.962622,0.0,132363112.71620001,833289677.1732687,6921227625.916815
Belgium,BEL,56,10,2014,2024,294282939404.6221,361569942857.322,67287003452.69995,185185169218.92896,117898165766.22894,0.0,0.8270733411415984,0.0,1.1012357245461035e-05,0.10180245608773893,0.07111319041341725,-117898165766.22894,153161716635.77185,0.0,2039325.24,18852305057.510517,13169108200.40659
Botswana,BWA,72,10,2013,2023,7917524140.814001,5500293424.782,-2417230716.0320015,3453020944.304273,5870251660.336273,0.0,0.7899679857193479,0.0,0.01969558114480289,0.014347515961702683,0.17598891717414655,-5870251660.336273,2727776000.0187674,0.0,68009254.20324871,49542273.114499226,607693416.967758
Brazil,BRA,76,10,2015,2025,183772096640.99997,348659941225.0001,164887844584.00015,215022532222.72278,50134687638.722755,0.0,0.8865994746235877,0.0,3.2696733399631315e-05,0.0031284522780005894,0.11023937636501195,-50134687638.722755,190638864100.89948,0.0,7030534.411,672687730.7536322,23703949856.658646
Burkina Faso,BFA,854,10,2014,2024,2603577417.258,5642107004.336,3038529587.0780005,4793100481.114501,1754570894.0365007,0.0,0.9326030286211033,0.0,0.0010696378852826807,0.010048738478390183,0.056278595015223754,-1754570894.0365007,4470060025.172651,0.0,5126881.862566714,48164613.235365786,269748960.84391713
Cambodia,KHM,116,10,2014,2024,6846019341.0,26662107525.472996,19816088184.472996,24750720403.616516,4934632219.143516,0.0,0.4486058635939405,0.0,0.0009226790506467635,0.21172687611298455,0.3387445812424281,-4934632219.143516,11103318301.236551,0.0,22836971.204832368,5240392712.603633,8384172418.571499
Canada,CAN,124,10,2015,2025,377462197824.28894,539824830224.48895,162362632400.2,235985631389.56912,73622998989.36913,0.0,0.8864114054674483,0.0,3.008041238867463e-06,0.0035522003983555627,0.11003338609295732,-73622998989.36913,209180355190.15115,0.0,709854.5109999999,838268253.8282164,25966298091.078766
China,CHN,156,10,2014,2024,2336030100070.0005,3479639306679.0,1143609206608.9995,1771144921567.9094,627535714958.9093,0.0,0.9550731837519644,0.0,0.0031198949145158604,0.007813460424344143,0.03399346090917547,-627535714958.9093,1691573019127.9866,0.0,5525786033.670313,13838770750.44897,60207345655.80338
"China, Hong Kong SAR",HKG,344,10,2015,2025,507499781463.588,755351286276.7479,247851504813.1599,411537439772.5044,163685934959.3444,0.0,0.9733743649152812,0.0,1.0249030629717085e-05,0.0008432774449451698,0.025772108609143876,-163685934959.3444,400579994077.42224,0.0,4217859.825503748,347040240.71063423,10606187594.54599
Costa Rica,CRI,188,10,2014,2024,11242661393.0,19880341333.983,8637679940.983002,12757600229.087189,4119920288.1041903,0.0,0.9338540676116396,0.0,0.0004195981198560424,0.010611018545138306,0.055115315723366205,-4119920288.1041903,11913736866.896255,0.0,5353065.07,135371132.62230486,703139164.4986295
Croatia,HRV,191,10,2015,2025,12797762708.999998,28100549411.0,15302786702.000002,19898870913.06356,4596084211.063563,0.0,0.7942039978528634,0.0,0.00016716590098668453,0.04725992044268303,0.15836891580346693,-4596084211.063563,15803762831.91314,0.0,3326412.6848,940419056.2506033,3151362612.21502
Czech Republic,CZE,203,10,2015,2025,155388222696.0,281333960856.99994,125945738160.99994,163744536207.0502,37798798046.05019,0.0,0.920960001039786,0.0,3.557718709242143e-06,0.0008965547194795459,0.07813988652202512,-37798798046.05019,150802168235.50424,0.0,582557.0,146805936.72542024,12794979477.820538
Denmark,DNK,208,10,2015,2025,79145486527.00002,129467360770.61304,50321874243.61302,80625859548.67615,30303985305.063152,0.0,0.7226057157716126,0.0,2.71641208200423e-06,0.0032764926092544787,0.274115075207051,-30303985305.063152,58260706948.872635,0.0,219013.059,264170032.92602703,22100763553.81849
Egypt,EGY,818,10,2015,2025,20924749675.069,48594964397.788994,27670214722.719994,39231783273.62169,11561568550.901693,0.0,0.6627144649826582,0.0,0.003801987065300955,0.028241251215193382,0.3052422967368476,-11561568550.901693,25999470262.493793,0.0,149158732.555,1107954647.050372,11975199631.522526
Finland,FIN,246,10,2015,2025,54853566857.99999,80069480544.85802,25215913686.858025,46588672993.53299,21372759306.674995,0.0,0.7821078431592691,0.0,0.0007584425697616426,0.009870553414795178,0.20726316085617416,-21372759306.674995,36437366550.62457,0.0,35334832.867,459855985.3070929,9656115624.734325
France,FRA,251,10,2014,2024,532147028787.0,644263935532.7589,112116906745.75891,297970801363.96906,185853894618.21005,0.0,0.8273938507950098,0.0,0.0006009734253017801,0.10049032800527427,0.07151484777441415,-185853894618.21005,246539208765.0093,0.0,179072533.1356208,29943183565.059677,21309336500.764442
Georgia,GEO,268,10,2014,2024,2853830415.55,6550108704.082001,3696278288.5320005,5161280701.273005,1465002412.7410047,0.0,0.6417174742452592,0.0,0.0037014205777043036,0.07256551326492623,0.28201559191211023,-1465002412.7410047,3312084015.4917126,0.0,19104070.595,374530983.192234,1455561631.994058
Germany,DEU,276,10,2015,2025,1238277664711.677,1700081716654.905,461804051943.228,757494418525.5109,295690366582.2828,0.0,0.9131480512641947,0.0,0.0005376188506195411,0.05370975006227155,0.03260457982291409,-295690366582.2828,691704552120.0746,0.0,407243278.63840276,40684835892.57091,24697787234.226913
Greece,GRC,300,10,2014,2024,35031356973.0,51739864856.452995,16708507883.452995,31129366575.57192,14420858692.11892,0.0,0.830028775506898,0.0,0.00025490043016894307,0.017191530319923605,0.1525247937430095,-14420858692.11892,25838270021.027317,0.0,7934888.931,535161449.3239611,4748000216.289641
Guyana,GUY,328,10,2015,2025,1169367266.5949998,24374582581.576004,23205215314.981003,24006841227.93301,801625912.9520129,0.0,0.172915115228783,0.0,0.000601217978170059,0.7708637619038156,0.05561990488923142,-801625912.9520129,4151145717.2071347,0.0,14433344.5453075,18506003940.392056,1335258225.7885137
Hungary,HUN,348,10,2015,2025,98112414100.0,154698295476.449,56585881376.449005,92277028810.57176,35691147434.12276,0.0,0.9115236722360082,0.0,1.1825073412799223e-06,0.0018979322174860452,0.0865772130391646,-35691147434.12276,84112696164.44029,0.0,109118.26400000001,175135545.91347215,7989087981.954001
Iceland,ISL,352,10,2015,2025,4686796593.0,7109127883.87,2422331290.87,4001773657.1097193,1579442366.2397192,0.0,0.8452515015946103,0.0,0.0004358698183494431,0.04451091270232652,0.10980171588471385,-1579442366.2397192,3382505192.713745,0.0,1744252.3569999998,178122597.90608066,439401614.1328937
India,IND,699,10,2014,2024,300391413410.0,428574665942.98505,128183252532.98505,252196800358.45782,124013547825.47282,0.0,0.8509837646658399,0.0,0.00010435522808613372,0.003125124498036629,0.1457867556080373,-124013547825.47282,214615382605.7197,0.0,26318054.623999998,788146399.1266694,36766953298.987465
Ireland,IRL,372,10,2014,2024,114226894405.352,241995087870.66806,127768193465.31606,170775133042.2712,43006939576.95521,0.0,0.8376514525565444,0.0,0.002505649109946925,0.06027574879847864,0.09956714953503008,-43006939576.95521,143050038253.3956,0.0,427902560.1084345,10293599020.28271,17003593208.484474
Italy,ITA,380,10,2015,2025,434737680400.88495,699622115360.9672,264884434960.0822,367958871063.41766,103074436103.33571,0.0,0.8959946771899057,0.0,4.0019386561989056e-07,0.06905644111045703,0.03494848150577178,-103074436103.33571,329689189897.629,0.0,147254.883,25409930110.66115,12859603800.244516
Japan,JPN,392,10,2015,2025,587837229985.0001,639063474470.572,51226244485.5719,231920547540.14075,180694303054.56876,0.0,0.9695888348376911,0.0,0.0001314785257124419,0.0014209354710307397,0.02885875116556575,-180694303054.56876,224867573464.3644,0.0,30492571.673,329544132.46065694,6692937371.642684
Korea,KOR,410,10,2015,2025,525103264384.0,708976964820.0,183873700436.0,389845149210.09766,205971448774.09766,0.0,0.9374065852317829,0.0,2.8001964426436543e-06,0.0005729755903900414,0.06201763898138446,-205971448774.09766,365443410090.2125,0.0,1091643.0,223371754.5293495,24177275722.355793
