country,iso3,reporter_code,year,future_year,horizon,flow,annualized_real_export_growth_log,log_initial_exports_constant_2015_usd,oil_export_share,log_gdp_constant_2015_usd,log_population,log_gni_per_capita_constant_2015_usd
Azerbaijan,AZE,31,2001,2006,5,Exports,0.17852999825472082,21.90632530890139,0.9174174878849736,23.31177886365513,15.908756380620508,
Azerbaijan,AZE,31,2001,2011,10,Exports,0.22340385198324064,21.90632530890139,0.9174174878849736,23.31177886365513,15.908756380620508,
Azerbaijan,AZE,31,2002,2003,1,Exports,0.16617478624855764,21.821715798941806,0.8965122962056625,23.401975228980053,15.916218116447677,
Azerbaijan,AZE,31,2002,2007,5,Exports,0.17968894097486085,21.821715798941806,0.8965122962056625,23.401975228980053,15.916218116447677,
Azerbaijan,AZE,31,2002,2012,10,Exports,0.21942701777792628,21.821715798941806,0.8965122962056625,23.401975228980053,15.916218116447677,
Azerbaijan,AZE,31,2003,2004,1,Exports,0.3029209532281705,21.987890585190364,0.8611251427136017,23.499177249039004,15.923794626003845,
Azerbaijan,AZE,31,2003,2008,5,Exports,0.5562634844155937,21.987890585190364,0.8611251427136017,23.499177249039004,15.923794626003845,
Azerbaijan,AZE,31,2003,2013,10,Exports,0.20120639731056755,21.987890585190364,0.8611251427136017,23.499177249039004,15.923794626003845,
Azerbaijan,AZE,31,2004,2005,1,Exports,0.15763050111846866,22.290811538418534,0.8259881149838474,23.58768069548099,15.93254889880867,
Azerbaijan,AZE,31,2004,2009,5,Exports,0.25843987521711964,22.290811538418534,0.8259881149838474,23.58768069548099,15.93254889880867,
Azerbaijan,AZE,31,2004,2014,10,Exports,0.15959902818622423,22.290811538418534,0.8259881149838474,23.58768069548099,15.93254889880867,
Azerbaijan,AZE,31,2005,2006,1,Exports,0.3505332606379916,22.448442039537003,0.7679760796079818,23.83424024472871,15.942771554732653,
Azerbaijan,AZE,31,2005,2010,5,Exports,0.298720571081531,22.448442039537003,0.7679760796079818,23.83424024472871,15.942771554732653,
Azerbaijan,AZE,31,2005,2015,10,Exports,0.08794668419515261,22.448442039537003,0.7679760796079818,23.83424024472871,15.942771554732653,
Azerbaijan,AZE,31,2006,2007,1,Exports,-0.07881479635888411,22.798975300174995,0.8475658137413963,24.130382996647917,15.953757420476835,
Azerbaijan,AZE,31,2006,2011,5,Exports,0.26827770571176046,22.798975300174995,0.8475658137413963,24.130382996647917,15.953757420476835,
Azerbaijan,AZE,31,2006,2016,10,Exports,0.05935964062350578,22.798975300174995,0.8475658137413963,24.130382996647917,15.953757420476835,
Azerbaijan,AZE,31,2007,2008,1,Exports,2.049047503452222,22.72016050381611,0.8168680936773116,24.357225424527506,15.965095975138398,
Azerbaijan,AZE,31,2007,2012,5,Exports,0.2591650945809917,22.72016050381611,0.8168680936773116,24.357225424527506,15.965095975138398,
Azerbaijan,AZE,31,2007,2017,10,Exports,0.07903242006339362,22.72016050381611,0.8168680936773116,24.357225424527506,15.965095975138398,
Azerbaijan,AZE,31,2008,2009,1,Exports,-1.1861970927641998,24.769208007268332,0.9709018731335897,24.457897905665693,15.986094515464323,
Azerbaijan,AZE,31,2008,2013,5,Exports,-0.15385068979445862,24.769208007268332,0.9709018731335897,24.457897905665693,15.986094515464323,
Azerbaijan,AZE,31,2008,2018,10,Exports,-0.10411418660708804,24.769208007268332,0.9709018731335897,24.457897905665693,15.986094515464323,
Azerbaijan,AZE,31,2009,2010,1,Exports,0.35903398044052537,23.583010914504133,0.9295846022191466,24.547459801174693,16.00685599810279,
Azerbaijan,AZE,31,2009,2014,5,Exports,0.06075818115532883,23.583010914504133,0.9295846022191466,24.547459801174693,16.00685599810279,
Azerbaijan,AZE,31,2009,2019,10,Exports,0.012117390951369345,23.583010914504133,0.9295846022191466,24.547459801174693,16.00685599810279,
Azerbaijan,AZE,31,2010,2011,1,Exports,0.1983189337891389,23.942044894944658,0.9456607244188995,24.594236821162923,16.01875387518139,
Azerbaijan,AZE,31,2010,2015,5,Exports,-0.12282720269122578,23.942044894944658,0.9456607244188995,24.594236821162923,16.01875387518139,
Azerbaijan,AZE,31,2010,2020,10,Exports,-0.059286593221556674,23.942044894944658,0.9456607244188995,24.594236821162923,16.01875387518139,
Azerbaijan,AZE,31,2011,2012,1,Exports,-0.12437785201272789,24.140363828733797,0.9480028726811368,24.57838181875104,16.031783883730153,
Azerbaijan,AZE,31,2011,2016,5,Exports,-0.1495584244647489,24.140363828733797,0.9480028726811368,24.57838181875104,16.031783883730153,
Azerbaijan,AZE,31,2011,2021,10,Exports,-0.0357975939348794,24.140363828733797,0.9480028726811368,24.57838181875104,16.031783883730153,
Azerbaijan,AZE,31,2012,2013,1,Exports,-0.016031418425029642,24.01598597672107,0.9350489810488924,24.600172066646333,16.04507152200353,
Azerbaijan,AZE,31,2012,2017,5,Exports,-0.10110025445420448,24.01598597672107,0.9350489810488924,24.600172066646333,16.04507152200353,
Azerbaijan,AZE,31,2012,2022,10,Exports,0.02504554054416097,24.01598597672107,0.9350489810488924,24.600172066646333,16.04507152200353,
Azerbaijan,AZE,31,2013,2014,1,Exports,-0.1131527380152626,23.99995455829604,0.9351038522947224,24.656962674177315,16.05800599227359,
Azerbaijan,AZE,31,2013,2018,5,Exports,-0.05437768341971747,23.99995455829604,0.9351038522947224,24.656962674177315,16.05800599227359,
Azerbaijan,AZE,31,2013,2023,10,Exports,0.011332148834321742,23.99995455829604,0.9351038522947224,24.656962674177315,16.05800599227359,
Azerbaijan,AZE,31,2014,2015,1,Exports,-0.5588929387922477,23.886801820280777,0.93515046099805,24.684554350802927,16.07048808224715,
Azerbaijan,AZE,31,2014,2019,5,Exports,-0.03652339925259014,23.886801820280777,0.93515046099805,24.684554350802927,16.07048808224715,
Azerbaijan,AZE,31,2014,2024,10,Exports,-0.0047806783619328995,23.886801820280777,0.93515046099805,24.684554350802927,16.07048808224715,
Azerbaijan,AZE,31,2015,2025,10,Exports,,23.32790888148853,0.899808940783897,24.69499511990774,16.08240018082785,8.58009758298538
Azerbaijan,AZE,31,2016,2017,1,Exports,0.11791299803999422,23.392571706410052,0.9173110530756268,24.663880043547675,16.09357875292924,
Azerbaijan,AZE,31,2016,2021,5,Exports,0.07796323659499009,23.392571706410052,0.9173110530756268,24.663880043547675,16.09357875292924,
Azerbaijan,AZE,31,2016,2026,10,Exports,,23.392571706410052,0.9173110530756268,24.663880043547675,16.09357875292924,
Azerbaijan,AZE,31,2017,2018,1,Exports,0.21758143674740538,23.510484704450047,0.9061246573978933,24.66541501149883,16.10339137097429,
Azerbaijan,AZE,31,2017,2022,5,Exports,0.15119133554252642,23.510484704450047,0.9061246573978933,24.66541501149883,16.10339137097429,
Azerbaijan,AZE,31,2017,2027,10,Exports,,23.510484704450047,0.9061246573978933,24.66541501149883,16.10339137097429,
Azerbaijan,AZE,31,2018,2019,1,Exports,-0.023881317179625938,23.728066141197452,0.9179317486006938,24.680307581341136,16.112054540137997,
Azerbaijan,AZE,31,2018,2023,5,Exports,0.07704198108836095,23.728066141197452,0.9179317486006938,24.680307581341136,16.112054540137997,
Azerbaijan,AZE,31,2018,2028,10,Exports,,23.728066141197452,0.9179317486006938,24.680307581341136,16.112054540137997,
Azerbaijan,AZE,31,2019,2020,1,Exports,-0.3550058612887348,23.704184824017826,0.9221006878176227,24.70480318713041,16.120521007402136,
Azerbaijan,AZE,31,2019,2024,5,Exports,0.02696204252872434,23.704184824017826,0.9221006878176227,24.70480318713041,16.120521007402136,
Azerbaijan,AZE,31,2019,2029,10,Exports,,23.704184824017826,0.9221006878176227,24.70480318713041,16.120521007402136,
Azerbaijan,AZE,31,2020,2021,1,Exports,0.4332089266559116,23.34917896272909,0.879220537567266,24.661906535190415,16.12736466065602,
Azerbaijan,AZE,31,2020,2025,5,Exports,,23.34917896272909,0.879220537567266,24.661906535190415,16.12736466065602,
Azerbaijan,AZE,31,2020,2030,10,Exports,,23.34917896272909,0.879220537567266,24.661906535190415,16.12736466065602,
Azerbaijan,AZE,31,2021,2022,1,Exports,0.48405349277767584,23.782387889385003,0.894980939475637,24.716550392746182,16.131776638014184,
Azerbaijan,AZE,31,2021,2026,5,Exports,,23.782387889385003,0.894980939475637,24.716550392746182,16.131776638014184,
Azerbaijan,AZE,31,2021,2031,10,Exports,,23.782387889385003,0.894980939475637,24.716550392746182,16.131776638014184,
Azerbaijan,AZE,31,2022,2023,1,Exports,-0.15316533552342193,24.26644138216268,0.9256721081068195,24.762619528105297,16.132171716676563,
Azerbaijan,AZE,31,2022,2027,5,Exports,,24.26644138216268,0.9256721081068195,24.762619528105297,16.132171716676563,
Azerbaijan,AZE,31,2022,2032,10,Exports,,24.26644138216268,0.9256721081068195,24.762619528105297,16.132171716676563,
Azerbaijan,AZE,31,2023,2024,1,Exports,-0.274281009977809,24.113276046639257,0.9150671804477952,24.776073392541175,16.133374138179956,
Azerbaijan,AZE,31,2023,2028,5,Exports,,24.113276046639257,0.9150671804477952,24.776073392541175,16.133374138179956,
Azerbaijan,AZE,31,2023,2033,10,Exports,,24.113276046639257,0.9150671804477952,24.776073392541175,16.133374138179956,
Azerbaijan,AZE,31,2024,2025,1,Exports,,23.838995036661448,0.8847624909277164,24.81598042829515,16.138175690752487,
Azerbaijan,AZE,31,2024,2029,5,Exports,,23.838995036661448,0.8847624909277164,24.81598042829515,16.138175690752487,
Azerbaijan,AZE,31,2024,2034,10,Exports,,23.838995036661448,0.8847624909277164,24.81598042829515,16.138175690752487,
Azerbaijan,AZE,31,2025,2026,1,Exports,,,0.8615375740834313,,,
Azerbaijan,AZE,31,2025,2030,5,Exports,,,0.8615375740834313,,,
Azerbaijan,AZE,31,2025,2035,10,Exports,,,0.8615375740834313,,,
Australia,AUS,36,2015,2025,10,Exports,,26.00439182706948,0.26284053360372384,27.936154406172825,16.98586797173483,10.929735606213535
Australia,AUS,36,2016,2026,10,Exports,,26.00475722025787,0.26626153957761667,27.963337968942852,17.001487376715872,10.916965251118464
Australia,AUS,36,2017,2027,10,Exports,,26.15949755918817,0.3229719986626719,27.986012060831108,17.017955654689374,10.947251162075093
Australia,AUS,36,2018,2028,10,Exports,,26.27401682100155,0.3669830210333315,28.01434846960356,17.032915621793506,10.960171544098094
Australia,AUS,36,2019,2029,10,Exports,,26.294875629458883,0.3405687224915962,28.036051417951544,17.04769052889935,10.977441421150873
Australia,AUS,36,2020,2025,5,Exports,,26.1484449441526,0.23523456148257685,28.034715206575573,17.06002481141249,10.976460228822924
Australia,AUS,36,2020,2030,10,Exports,,26.1484449441526,0.23523456148257685,28.034715206575573,17.06002481141249,10.976460228822924
Australia,AUS,36,2021,2026,5,Exports,,26.49011912270444,0.28807835750707483,28.054585953545185,17.061433762245418,11.026990346342417
Australia,AUS,36,2021,2031,10,Exports,,26.49011912270444,0.28807835750707483,28.054585953545185,17.061433762245418,11.026990346342417
Australia,AUS,36,2022,2027,5,Exports,,26.566031420604315,0.46070180622697515,28.09623684212474,17.07432687534397,11.054028347338097
Australia,AUS,36,2022,2032,10,Exports,,26.566031420604315,0.46070180622697515,28.09623684212474,17.07432687534397,11.054028347338097
Australia,AUS,36,2023,2028,5,Exports,,26.472403420862104,0.3601314876437699,28.131447805890012,17.098671946979124,11.059175919870519
Australia,AUS,36,2023,2033,10,Exports,,26.472403420862104,0.3601314876437699,28.131447805890012,17.098671946979124,11.059175919870519
Australia,AUS,36,2024,2025,1,Exports,,26.372989351195567,0.3399375018111082,28.14508842551782,17.118610318514726,11.045134184393731
Australia,AUS,36,2024,2029,5,Exports,,26.372989351195567,0.3399375018111082,28.14508842551782,17.118610318514726,11.045134184393731
Australia,AUS,36,2024,2034,10,Exports,,26.372989351195567,0.3399375018111082,28.14508842551782,17.118610318514726,11.045134184393731
Australia,AUS,36,2025,2026,1,Exports,,,0.2738014567077701,,,
Australia,AUS,36,2025,2030,5,Exports,,,0.2738014567077701,,,
Australia,AUS,36,2025,2035,10,Exports,,,0.2738014567077701,,,
Austria,AUT,40,1994,1995,1,Exports,0.14150533989894498,25.00589178878217,0.012997559135419766,26.28451908046321,15.886934796787918,
Austria,AUT,40,1994,1999,5,Exports,0.02798771849704664,25.00589178878217,0.012997559135419766,26.28451908046321,15.886934796787918,
Austria,AUT,40,1994,2004,10,Exports,0.06565755212136928,25.00589178878217,0.012997559135419766,26.28451908046321,15.886934796787918,
Austria,AUT,40,2015,2025,10,Exports,,25.731783595563897,0.02071283305948459,26.66224189491826,15.972225476257695,10.679763487278253
Austria,AUT,40,2016,2026,10,Exports,,25.71938793136566,0.017862860067936148,26.6831930745809,15.983039439244974,10.703585368994277
Austria,AUT,40,2017,2027,10,Exports,,25.802071209153116,0.0200649880955939,26.705661262976914,15.989985650281024,10.702990851238779
Austria,AUT,40,2018,2028,10,Exports,,25.85923525100591,0.022597539734608603,26.730199923627538,15.994856369528714,10.718712213555516
Austria,AUT,40,2019,2029,10,Exports,,25.837432331258725,0.023346988302962054,26.747597466874325,15.999303105918763,10.734194416316203
Austria,AUT,40,2020,2025,5,Exports,,25.77859324236135,0.020346249190464995,26.682330626260775,16.003454873234418,10.68247086941521
Austria,AUT,40,2020,2030,10,Exports,,25.77859324236135,0.020346249190464995,26.682330626260775,16.003454873234418,10.68247086941521
Austria,AUT,40,2021,2026,5,Exports,,25.9106741460831,0.026097509621649397,26.73038806221405,16.007811590074983,10.726336117621496
Austria,AUT,40,2021,2031,10,Exports,,25.9106741460831,0.026097509621649397,26.73038806221405,16.007811590074983,10.726336117621496
Austria,AUT,40,2022,2027,5,Exports,,25.886528856046162,0.04088811100788905,26.782325305265182,16.017374468045748,10.726920441826378
Austria,AUT,40,2022,2032,10,Exports,,25.886528856046162,0.04088811100788905,26.782325305265182,16.017374468045748,10.726920441826378
Austria,AUT,40,2023,2028,5,Exports,,25.92050144525364,0.03729716866002259,26.774431790400236,16.02726911458544,10.715611196841783
Austria,AUT,40,2023,2033,10,Exports,,25.92050144525364,0.03729716866002259,26.774431790400236,16.02726911458544,10.715611196841783
Austria,AUT,40,2024,2025,1,Exports,,25.847809864097556,0.02906196921091315,26.767819078805026,16.0323179127234,10.700653375827088
Austria,AUT,40,2024,2029,5,Exports,,25.847809864097556,0.02906196921091315,26.767819078805026,16.0323179127234,10.700653375827088
Austria,AUT,40,2024,2034,10,Exports,,25.847809864097556,0.02906196921091315,26.767819078805026,16.0323179127234,10.700653375827088
Armenia,ARM,51,1997,1998,1,Exports,,19.57724484480019,0.00754404400639202,21.939113871905754,14.993023055749077,7.155531035919043
Armenia,ARM,51,2015,2025,10,Exports,,21.195567222195592,0.06267987114743434,23.079707999295902,14.91565500561046,8.203845183384919
Armenia,ARM,51,2016,2026,10,Exports,,21.382712569410625,0.03427168331432152,23.081706001956842,14.911552880429745,8.18542536952706
Armenia,ARM,51,2017,2027,10,Exports,,21.518454808515703,0.034477502667802695,23.154026663551736,14.90723249592763,8.273400860011746
Armenia,ARM,51,2018,2028,10,Exports,,21.6240638429283,0.034163260173058915,23.20471977786396,14.903735753745897,8.314916898896708
Armenia,ARM,51,2019,2029,10,Exports,,21.705818948913418,0.026321418098784525,23.27797023958997,14.901544064425524,8.378521034150738
Armenia,ARM,51,2020,2025,5,Exports,,21.583754763552573,0.029056160883676917,23.20324669340259,14.901206454699157,8.300402644621022
Armenia,ARM,51,2020,2030,10,Exports,,21.583754763552573,0.029056160883676917,23.20324669340259,14.901206454699157,8.300402644621022
Armenia,ARM,51,2021,2026,5,Exports,,21.780766974004013,0.01737091237621017,23.259627026844903,14.90147655159806,8.348862570071267
Armenia,ARM,51,2021,2031,10,Exports,,21.780766974004013,0.01737091237621017,23.259627026844903,14.90147655159806,8.348862570071267
Armenia,ARM,51,2022,2027,5,Exports,,22.304721129768648,0.01820560403979076,23.378298556560413,14.903803114225529,8.468635479230711
Armenia,ARM,51,2022,2032,10,Exports,,22.304721129768648,0.01820560403979076,23.378298556560413,14.903803114225529,8.468635479230711
Armenia,ARM,51,2023,2028,5,Exports,,22.71847944759748,0.008864230496500779,23.458033524575534,14.902151474851165,8.532169332174032
Armenia,ARM,51,2023,2033,10,Exports,,22.71847944759748,0.008864230496500779,23.458033524575534,14.902151474851165,8.532169332174032
Armenia,ARM,51,2024,2025,1,Exports,,23.13583536333512,0.006666528233230899,23.515358591199167,14.925227626364489,8.537058680520465
Armenia,ARM,51,2024,2029,5,Exports,,23.13583536333512,0.006666528233230899,23.515358591199167,14.925227626364489,8.537058680520465
Armenia,ARM,51,2024,2034,10,Exports,,23.13583536333512,0.006666528233230899,23.515358591199167,14.925227626364489,8.537058680520465
Belgium,BEL,56,2015,2025,10,Exports,,26.261835519253165,0.09533866625242456,26.85676098486929,16.238027132606476,10.632710488170627
Belgium,BEL,56,2016,2026,10,Exports,,26.328955544460307,0.06923341037327206,26.868625351401548,16.24309013263099,10.641455441127588
Belgium,BEL,56,2017,2027,10,Exports,,26.39799002078755,0.07828993445027572,26.883262381665602,16.24694241281471,10.648983022196918
Belgium,BEL,56,2018,2028,10,Exports,,26.52247171396219,0.08705094218824566,26.901867905207506,16.251494259767462,10.657806670927682
Belgium,BEL,56,2019,2029,10,Exports,,26.47418661937221,0.07471008517210392,26.926003192226347,16.256898873038445,10.680757244937254
Belgium,BEL,56,2020,2025,5,Exports,,26.413188570505678,0.05077971031335559,26.876886643761658,16.26120884118944,10.631046015189261
Belgium,BEL,56,2020,2030,10,Exports,,26.413188570505678,0.05077971031335559,26.876886643761658,16.26120884118944,10.631046015189261
Belgium,BEL,56,2021,2026,5,Exports,,26.639702525170897,0.08910457658048208,26.937553211659907,16.265324861154763,10.681036882808275
Belgium,BEL,56,2021,2031,10,Exports,,26.639702525170897,0.08910457658048208,26.937553211659907,16.265324861154763,10.681036882808275
Belgium,BEL,56,2022,2027,5,Exports,,26.738365973061175,0.20959741052783876,26.976353047562487,16.27340651465478,10.674229594950214
Belgium,BEL,56,2022,2032,10,Exports,,26.738365973061175,0.20959741052783876,26.976353047562487,16.27340651465478,10.674229594950214
Belgium,BEL,56,2023,2028,5,Exports,,26.567904565956788,0.13252999249137737,26.993349013938282,16.28190915213646,10.700001308448558
Belgium,BEL,56,2023,2033,10,Exports,,26.567904565956788,0.13252999249137737,26.993349013938282,16.28190915213646,10.700001308448558
Belgium,BEL,56,2024,2025,1,Exports,,26.455909389962816,0.11685966503567548,27.00399666725111,16.288564743990783,10.705505568191185
Belgium,BEL,56,2024,2029,5,Exports,,26.455909389962816,0.11685966503567548,27.00399666725111,16.288564743990783,10.705505568191185
Belgium,BEL,56,2024,2034,10,Exports,,26.455909389962816,0.11685966503567548,27.00399666725111,16.288564743990783,10.705505568191185
Botswana,BWA,72,2014,2024,10,Exports,,22.954740012254803,0.002418407961048295,23.37796014307021,14.591179217657663,8.767426381389827
Botswana,BWA,72,2015,2025,10,Exports,,22.650975053537078,0.0035890231368347616,23.32823062456759,14.605454540031442,8.688654230817821
Botswana,BWA,72,2016,2026,10,Exports,,22.7882941139639,0.001707827744952084,23.397797962102647,14.619651557293428,8.771597467002817
Botswana,BWA,72,2017,2027,10,Exports,,22.567249672924692,0.0014847791641789865,23.438117864814632,14.633856322026672,8.718145054687477
Botswana,BWA,72,2018,2028,10,Exports,,22.662832368931188,0.0018988715637181803,23.479151283750454,14.648046132878132,8.714279511207375
Botswana,BWA,72,2019,2024,5,Exports,,22.413526790522084,0.0029302666329841676,23.509018517980667,14.662272417585871,8.839021965995151
Botswana,BWA,72,2019,2029,10,Exports,,22.413526790522084,0.0029302666329841676,23.509018517980667,14.662272417585871,8.839021965995151
Botswana,BWA,72,2020,2025,5,Exports,,22.212743085984595,0.0038651063642441853,23.417682722995934,14.676666521164364,8.794927498134124
Botswana,BWA,72,2020,2030,10,Exports,,22.212743085984595,0.0038651063642441853,23.417682722995934,14.676666521164364,8.794927498134124
Botswana,BWA,72,2021,2026,5,Exports,,22.704661164684218,0.0039018868467717693,23.530263561213577,14.691579531806871,8.865756583560286
Botswana,BWA,72,2021,2031,10,Exports,,22.704661164684218,0.0039018868467717693,23.530263561213577,14.691579531806871,8.865756583560286
Botswana,BWA,72,2022,2027,5,Exports,,22.754988917725356,0.006940234813005323,23.583671779684153,14.707464333994698,8.9373529464069
Botswana,BWA,72,2022,2032,10,Exports,,22.754988917725356,0.006940234813005323,23.583671779684153,14.707464333994698,8.9373529464069
Botswana,BWA,72,2023,2024,1,Exports,,22.294779391032844,0.0066794231543121935,23.615248623166785,14.723867500398246,8.923222343623115
Botswana,BWA,72,2023,2028,5,Exports,,22.294779391032844,0.0066794231543121935,23.615248623166785,14.723867500398246,8.923222343623115
Botswana,BWA,72,2023,2033,10,Exports,,22.294779391032844,0.0066794231543121935,23.615248623166785,14.723867500398246,8.923222343623115
Brazil,BRA,76,2015,2025,10,Exports,,26.021267816640126,0.07480957006142579,28.220035914952028,19.12217068669136,9.078869010694048
Brazil,BRA,76,2016,2026,10,Exports,,25.977489382428637,0.06528409369669294,28.186728149988177,19.129790413396325,9.037737103519921
Brazil,BRA,76,2017,2027,10,Exports,,26.140355299568373,0.08819431447339746,28.199870105490522,19.1370728799965,9.050569858091878
Brazil,BRA,76,2018,2028,10,Exports,,26.156467414658998,0.13404902720974388,28.217549566358947,19.143907275710756,9.052476514712348
Brazil,BRA,76,2019,2029,10,Exports,,26.105874466282163,0.14221714821899256,28.229683430603846,19.15042721917157,9.053677289982591
Brazil,BRA,76,2020,2025,5,Exports,,26.041883562007715,0.12356275984668101,28.196366961567072,19.156220726268646,9.024432495979958
Brazil,BRA,76,2020,2030,10,Exports,,26.041883562007715,0.12356275984668101,28.196366961567072,19.156220726268646,9.024432495979958
Brazil,BRA,76,2021,2026,5,Exports,,26.291039574993476,0.14227356862164103,28.242893655349594,19.160474335340812,9.065431759168078
Brazil,BRA,76,2021,2031,10,Exports,,26.291039574993476,0.14227356862164103,28.242893655349594,19.160474335340812,9.065431759168078
Brazil,BRA,76,2022,2027,5,Exports,,26.32311973844409,0.1906434870905218,28.272614525564997,19.164076144249535,9.086606797215826
Brazil,BRA,76,2022,2032,10,Exports,,26.32311973844409,0.1906434870905218,28.272614525564997,19.164076144249535,9.086606797215826
Brazil,BRA,76,2023,2028,5,Exports,,26.41800348193275,0.16240057586004647,28.30451674808545,19.168035431205283,9.118381033915991
Brazil,BRA,76,2023,2033,10,Exports,,26.41800348193275,0.16240057586004647,28.30451674808545,19.168035431205283,9.118381033915991
Brazil,BRA,76,2024,2025,1,Exports,,26.25713138493674,0.19283799795509998,28.338138307171313,19.172090101481558,9.139878750202694
Brazil,BRA,76,2024,2029,5,Exports,,26.25713138493674,0.19283799795509998,28.338138307171313,19.172090101481558,9.139878750202694
Brazil,BRA,76,2024,2034,10,Exports,,26.25713138493674,0.19283799795509998,28.338138307171313,19.172090101481558,9.139878750202694
Brazil,BRA,76,2025,2026,1,Exports,,,0.16117805645109926,,,
Brazil,BRA,76,2025,2030,5,Exports,,,0.16117805645109926,,,
Brazil,BRA,76,2025,2035,10,Exports,,,0.16117805645109926,,,
Cambodia,KHM,116,2015,2025,10,Exports,,22.95215940510724,2.943132170582865e-07,23.908550559975033,16.56427081132144,7.302197429640177
Cambodia,KHM,116,2016,2026,10,Exports,,23.108222399875565,7.71711900841963e-05,23.98463622883747,16.57885688807812,7.364814054268639
Cambodia,KHM,116,2017,2027,10,Exports,,23.20495278264359,5.144745754879911e-08,24.06229183570104,16.59267454768711,7.4366930222906635
Cambodia,KHM,116,2018,2028,10,Exports,,23.300162540496224,7.119831102084704e-06,24.146414428656264,16.605111375427903,7.520022196915845
Cambodia,KHM,116,2019,2029,10,Exports,,23.439983071665413,6.859367879196304e-08,24.22279150427962,16.61773720552888,7.596308215735617
Cambodia,KHM,116,2020,2025,5,Exports,,23.611511215613632,2.0564747490518204e-08,24.18658673049137,16.63244350438415,7.601625934527581
Cambodia,KHM,116,2020,2030,10,Exports,,23.611511215613632,2.0564747490518204e-08,24.18658673049137,16.63244350438415,7.601625934527581
Cambodia,KHM,116,2021,2026,5,Exports,,23.52424538712363,1.1286117246988111e-06,24.217017413131668,16.647211288008272,7.594752921781283
Cambodia,KHM,116,2021,2031,10,Exports,,23.52424538712363,1.1286117246988111e-06,24.217017413131668,16.647211288008272,7.594752921781283
Cambodia,KHM,116,2022,2027,5,Exports,,23.649376421530473,3.390818244722334e-08,24.26704396606446,16.660520169318875,7.631479122875786
Cambodia,KHM,116,2022,2032,10,Exports,,23.649376421530473,3.390818244722334e-08,24.26704396606446,16.660520169318875,7.631479122875786
Cambodia,KHM,116,2023,2028,5,Exports,,23.666088677390075,3.6882537836831826e-08,24.315903941493403,16.67335223707882,7.679251272496824
Cambodia,KHM,116,2023,2033,10,Exports,,23.666088677390075,3.6882537836831826e-08,24.315903941493403,16.67335223707882,7.679251272496824
Cambodia,KHM,116,2024,2025,1,Exports,,23.848697251123106,1.242993674387414e-05,24.37393800502537,16.685611635711275,7.700645585975919
Cambodia,KHM,116,2024,2029,5,Exports,,23.848697251123106,1.242993674387414e-05,24.37393800502537,16.685611635711275,7.700645585975919
Cambodia,KHM,116,2024,2034,10,Exports,,23.848697251123106,1.242993674387414e-05,24.37393800502537,16.685611635711275,7.700645585975919
Canada,CAN,124,2015,2025,10,Exports,,26.74104185740963,0.20554718577015998,28.073466490941257,17.390787233211,10.667240985599715
Canada,CAN,124,2016,2026,10,Exports,,26.660877103820354,0.1772516812565538,28.08379844129427,17.4021026306137,10.665567674820439
