country,iso3,reporter_code,base_year,base_year_2,future_year,future_year_2,base_window,future_window,horizon,product_level,active_threshold_usd_2024,persistence_rule,product_definition,product_definition_label,base_value_2024_usd,future_value_2024_usd,net_contribution_2024_usd,positive_expansion_2024_usd,product_count,total_net_growth_2024_usd,total_positive_expansion_2024_usd,positive_expansion_share,net_growth_share,least_traded_base_share_cutoff
Azerbaijan,AZE,31,2000,2001,2010,2011,2000-2001,2010-2011,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,7345647.390835604,1314102235.7509181,1306756588.360083,1307587023.8664675,107,29089531349.988216,29295108383.41712,0.04463499526107383,0.04492188521836095,0.1
Azerbaijan,AZE,31,2000,2001,2010,2011,2000-2001,2010-2011,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),143522260.74602374,2056538690.5822802,1913016429.8362565,1913016429.8362565,273,29089531349.988216,29295108383.41712,0.06530156518960498,0.0657630543036243,0.1
Azerbaijan,AZE,31,2001,2002,2006,2007,2001-2002,2006-2007,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,15578268.595460426,453401906.63838524,437823638.0429248,439885198.38818395,101,5311695520.044324,5409098801.858134,0.08132319532360446,0.0824263432251989,0.1
Azerbaijan,AZE,31,2001,2002,2006,2007,2001-2002,2006-2007,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),862878511.8047076,3631833725.0949774,2768955213.29027,2768955213.29027,329,5311695520.044324,5409098801.858134,0.5119069395328992,0.5212940393215845,0.1
Azerbaijan,AZE,31,2001,2002,2011,2012,2001-2002,2011-2012,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,17418544.702200178,782493873.4337221,765075328.7315221,768744591.9939047,108,29936961715.572952,30076924493.428898,0.025559281906029234,0.025556211615607484,0.1
Azerbaijan,AZE,31,2001,2002,2011,2012,2001-2002,2011-2012,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),844027001.755534,4375908069.303108,3531881067.547574,3531881067.547574,279,29936961715.572952,30076924493.428898,0.11742826525761327,0.1179772717453261,0.1
Azerbaijan,AZE,31,2002,2003,2007,2008,2002-2003,2007-2008,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,25164288.611995928,427335496.5368017,402171207.92480576,402171207.92480576,98,33951513947.166336,34038270762.10466,0.011815265550227341,0.011845457276239424,0.1
Azerbaijan,AZE,31,2002,2003,2007,2008,2002-2003,2007-2008,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),282583793.0842167,1455751052.4880967,1173167259.4038801,1173167259.4038801,314,33951513947.166336,34038270762.10466,0.03446612395803566,0.03455419576368538,0.1
Azerbaijan,AZE,31,2002,2003,2012,2013,2002-2003,2012-2013,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,24360966.18230028,624053102.0230635,599692135.8407631,600944984.3778865,98,27436798967.61254,27588886642.74548,0.02178213974922781,0.02185721944271498,0.1
Azerbaijan,AZE,31,2002,2003,2012,2013,2002-2003,2012-2013,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),256539667.42139035,2400222524.478516,2143682857.057126,2143682857.057126,276,27436798967.61254,27588886642.74548,0.07770095563536665,0.07813166760406752,0.1
Azerbaijan,AZE,31,2003,2004,2008,2009,2003-2004,2008-2009,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,114532427.68822265,413602679.18886787,299070251.50064516,299311531.7045814,76,38808350386.646484,38955176318.756165,0.007683485482273858,0.007706337644373358,0.1
Azerbaijan,AZE,31,2003,2004,2008,2009,2003-2004,2008-2009,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),374050036.2586616,1386760294.440752,1012710258.1820905,1012710258.1820905,292,38808350386.646484,38955176318.756165,0.025996808483048507,0.02609516374936031,0.1
Azerbaijan,AZE,31,2003,2004,2013,2014,2003-2004,2013-2014,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,109687924.00954503,524901558.3019236,415213634.2923787,491231603.3612415,87,24475919588.382477,24773799596.172356,0.019828674299809005,0.016964168916842673,0.1
Azerbaijan,AZE,31,2003,2004,2013,2014,2003-2004,2013-2014,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),365974822.9424672,2090665450.271342,1724690627.328875,1724690627.328875,281,24475919588.382477,24773799596.172356,0.06961752558922557,0.07046479381912586,0.1
Azerbaijan,AZE,31,2004,2005,2009,2010,2004-2005,2009-2010,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,4574089.901881773,365946767.7583,361372677.85641825,361497803.11975664,61,18762232109.74003,19332044171.96323,0.01869940912115376,0.01926064424226044,0.1
Azerbaijan,AZE,31,2004,2005,2009,2010,2004-2005,2009-2010,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),379857076.7481239,1357932004.4530845,978074927.7049606,978074927.7049606,255,18762232109.74003,19332044171.96323,0.050593456077626685,0.05212998762536431,0.1
Azerbaijan,AZE,31,2004,2005,2014,2015,2004-2005,2014-2015,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,3146683.5136970165,376108743.22980344,372962059.71610636,373347874.52335536,79,15674346689.729856,16319512817.000547,0.02287739093132898,0.023794424552346958,0.1
Azerbaijan,AZE,31,2004,2005,2014,2015,2004-2005,2014-2015,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),346102554.60622555,2482119086.6835456,2136016532.0773206,2136016532.0773206,280,15674346689.729856,16319512817.000547,0.13088727316983173,0.13627467698394607,0.1
Azerbaijan,AZE,31,2005,2006,2010,2011,2005-2006,2010-2011,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,51508092.91212666,415400601.1765573,363892508.2644307,364703251.17118543,63,24528216847.16645,25287055319.427795,0.014422527517112186,0.014835669079893523,0.1
Azerbaijan,AZE,31,2005,2006,2010,2011,2005-2006,2010-2011,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),485281530.92330396,2066360028.6725798,1581078497.749276,1581078497.749276,254,24528216847.16645,25287055319.427795,0.06252521212046976,0.06445957762037338,0.1
Azerbaijan,AZE,31,2005,2006,2015,2016,2005-2006,2015-2016,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,27207709.387281794,273495735.6676647,246288026.280383,246905380.03193676,79,8414790439.540713,10315684777.18036,0.023934948126577465,0.029268468187049184,0.1
Azerbaijan,AZE,31,2005,2006,2015,2016,2005-2006,2015-2016,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),317582276.65185905,2596150876.45555,2278568599.8036914,2278568599.8036914,281,8414790439.540713,10315684777.18036,0.22088389176491532,0.2707813838235118,0.1
Azerbaijan,AZE,31,2006,2007,2011,2012,2006-2007,2011-2012,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,11909761.006898912,82115231.9862904,70205470.97939146,71822362.42794101,58,24625266195.528625,25584432420.70539,0.0028072681561548117,0.0028509527743557604,0.1
Azerbaijan,AZE,31,2006,2007,2011,2012,2006-2007,2011-2012,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),469539823.00923574,2149119955.7630196,1679580132.7537835,1679580132.7537835,246,24625266195.528625,25584432420.70539,0.06564852036328565,0.06820556250712759,0.1
Azerbaijan,AZE,31,2006,2007,2016,2017,2006-2007,2016-2017,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,37499338.49813151,221748583.88360757,184249245.38547602,184709534.59172907,85,8974953878.094898,11542371485.420143,0.01600273694405406,0.02052926932974795,0.1
Azerbaijan,AZE,31,2006,2007,2016,2017,2006-2007,2016-2017,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),368332395.38133955,2457443575.879407,2089111180.4980674,2089111180.4980674,306,8974953878.094898,11542371485.420143,0.1809949699796916,0.23277124416170486,0.1
Azerbaijan,AZE,31,2007,2008,2012,2013,2007-2008,2012-2013,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,4523150.669738401,99284504.37044102,94761353.70070262,94890364.6376347,52,-6514714979.553796,1718314209.4220364,0.055222941250978506,-0.014545740527115584,0.1
Azerbaijan,AZE,31,2007,2008,2012,2013,2007-2008,2012-2013,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),936123370.5913665,2635459693.159057,1699336322.5676901,1699336322.5676901,244,-6514714979.553796,1718314209.4220364,0.9889555200380206,-0.2608458432795598,0.1
Azerbaijan,AZE,31,2007,2008,2017,2018,2007-2008,2017-2018,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,75241843.39702545,390211107.4004497,314969264.00342435,382770076.1227795,101,-16459506123.182878,2741209430.0374303,0.13963547327996492,-0.019136009406734055,0.1
Azerbaijan,AZE,31,2007,2008,2017,2018,2007-2008,2017-2018,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),633175787.5485258,3110825027.36899,2477649239.820464,2477649239.820464,322,-16459506123.182878,2741209430.0374303,0.9038525888139209,-0.15052998682206786,0.1
Azerbaijan,AZE,31,2008,2009,2013,2014,2008-2009,2013-2014,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,6781746.845575901,111015789.61182755,104234042.76625165,105375881.11684178,64,-14332430798.264006,1365042117.474635,0.0771960657974349,-0.007272600456502944,0.1
Azerbaijan,AZE,31,2008,2009,2013,2014,2008-2009,2013-2014,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1113894562.4472053,2442476932.5129213,1328582370.0657158,1328582370.0657158,247,-14332430798.264006,1365042117.474635,0.9732903864707335,-0.09269763020426643,0.1
Azerbaijan,AZE,31,2008,2009,2018,2019,2008-2009,2018-2019,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,9753955.140725056,432011770.95565987,422257815.8149348,424230185.5540348,118,-20335814575.931263,3341425747.075772,0.1269608297970701,-0.02076424400105929,0.1
Azerbaijan,AZE,31,2008,2009,2018,2019,2008-2009,2018-2019,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),813271891.0923457,3867935561.4338346,3054663670.3414893,3054663670.3414893,351,-20335814575.931263,3341425747.075772,0.914179724931718,-0.1502110308360541,0.1
Azerbaijan,AZE,31,2009,2010,2014,2015,2009-2010,2014-2015,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,7245414.316912049,85152550.99247773,77907136.67556567,80415612.94089717,62,-3087885420.010178,1611822081.990888,0.049891122500052565,-0.025229931191976963,0.1
Azerbaijan,AZE,31,2009,2010,2014,2015,2009-2010,2014-2015,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1065581825.788565,2642498974.4469867,1576917148.658422,1576917148.658422,265,-3087885420.010178,1611822081.990888,0.9783444254037317,-0.5106786470895751,0.1
Azerbaijan,AZE,31,2009,2010,2019,2020,2009-2010,2019-2020,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,6180868.303024651,554576892.004281,548396023.7012562,549522507.6604782,118,-5229183640.55212,3794209183.5372405,0.14483189541705052,-0.1048722059497903,0.1
Azerbaijan,AZE,31,2009,2010,2019,2020,2009-2010,2019-2020,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),743551402.7997943,4248299338.317254,3504747935.517459,3504747935.517459,354,-5229183640.55212,3794209183.5372405,0.9237097286897807,-0.6702285053327008,0.1
Azerbaijan,AZE,31,2010,2011,2015,2016,2010-2011,2015-2016,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,5882310.164151434,106200223.73955454,100317913.57540312,101306510.74399471,62,-16113426407.625736,1623087988.6109295,0.06241590810532386,-0.006225734430259185,0.1
Azerbaijan,AZE,31,2010,2011,2015,2016,2010-2011,2015-2016,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1060375020.8874238,2648719531.9548683,1588344511.0674443,1588344511.0674443,276,-16113426407.625736,1623087988.6109295,0.9785942119051603,-0.09857273499047693,0.1
Azerbaijan,AZE,31,2010,2011,2020,2021,2010-2011,2020-2021,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,9103704.994400425,750629694.1861155,741525989.191715,743548162.3401734,122,-11915772085.796385,5555807958.677791,0.13383258886383972,-0.062230628771056715,0.1
Azerbaijan,AZE,31,2010,2011,2020,2021,2010-2011,2020-2021,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1106459805.9792771,6351474727.619173,5245014921.639896,5245014921.639896,347,-11915772085.796385,5555807958.677791,0.9440597948400183,-0.44017415605758026,0.1
Azerbaijan,AZE,31,2011,2012,2016,2017,2011-2012,2016-2017,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,6594641.045229073,241935909.84296253,235341268.7977335,236263615.54795712,84,-15650312317.433735,1365818463.0447717,0.17298317597879212,-0.015037480660087149,0.1
Azerbaijan,AZE,31,2011,2012,2016,2017,2011-2012,2016-2017,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1384330584.3611383,2622949199.451022,1238618615.0898833,1238618615.0898833,328,-15650312317.433735,1365818463.0447717,0.9068691400822579,-0.07914338001485878,0.1
Azerbaijan,AZE,31,2011,2012,2021,2022,2011-2012,2021-2022,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,7104893.077634996,667764244.4925725,660659351.4149375,661731762.080172,146,-884898510.8202494,12369032249.324858,0.053499073229135725,-0.7465933588277199,0.1
Azerbaijan,AZE,31,2011,2012,2021,2022,2011-2012,2021-2022,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1501181644.8721497,13537493189.414183,12036311544.542034,12036311544.542034,382,-884898510.8202494,12369032249.324858,0.9731005063228787,-13.60191185471097,0.1
Azerbaijan,AZE,31,2012,2013,2017,2018,2012-2013,2017-2018,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,41858784.81781422,346462000.68405336,304603215.8662392,334706697.6351798,105,-9944791143.629084,1761528303.428881,0.19000926467298918,-0.03062942312884838,0.1
Azerbaijan,AZE,31,2012,2013,2017,2018,2012-2013,2017-2018,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1481266656.5880115,3041092526.1951165,1559825869.6071055,1559825869.6071055,350,-9944791143.629084,1761528303.428881,0.8854957746468484,-0.1568485297558385,0.1
Azerbaijan,AZE,31,2012,2013,2022,2023,2012-2013,2022-2023,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,13051358.256347839,562357296.4827598,549305938.2264118,551459905.4459231,175,6345884187.789355,16398849531.492317,0.03362796300965507,0.08656097747314348,0.1
Azerbaijan,AZE,31,2012,2013,2022,2023,2012-2013,2022-2023,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1619973666.181304,17748678089.567795,16128704423.386488,16128704423.386488,409,6345884187.789355,16398849531.492317,0.9835265816917801,2.541600814969342,0.1
Azerbaijan,AZE,31,2013,2014,2018,2019,2013-2014,2018-2019,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,11361350.207782269,336078255.6014238,324716905.3936416,327770256.7417354,106,-6003383777.667256,2631738083.1856155,0.12454516611508026,-0.05408898005181626,0.1
Azerbaijan,AZE,31,2013,2014,2018,2019,2013-2014,2018-2019,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1145885079.412222,3555186104.6881332,2409301025.275911,2409301025.275911,345,-6003383777.667256,2631738083.1856155,0.9154790291135456,-0.40132383910530145,0.1
Azerbaijan,AZE,31,2013,2014,2023,2024,2013-2014,2023-2024,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,13495798.997106774,623275151.9920559,609779352.9949491,613482188.9771552,174,1214338735.8487024,12806649635.082941,0.04790341006101726,0.5021493056208685,0.1
Azerbaijan,AZE,31,2013,2014,2023,2024,2013-2014,2023-2024,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1450859440.8776882,14010891011.596478,12560031570.718792,12560031570.718792,406,1214338735.8487024,12806649635.082941,0.9807429678025581,10.343103781450713,0.1
Azerbaijan,AZE,31,2014,2015,2019,2020,2014-2015,2019-2020,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,10904409.33120229,318724249.4797041,307819840.1485018,309273130.51152813,100,-2141298220.5419445,2578880218.1311417,0.11992535688053461,-0.14375383923431048,0.1
Azerbaijan,AZE,31,2014,2015,2019,2020,2014-2015,2019-2020,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1704921589.4491994,4039152651.7129326,2334231062.2637334,2334231062.2637334,356,-2141298220.5419445,2578880218.1311417,0.905133571482936,-1.0901008742598026,0.1
Azerbaijan,AZE,31,2015,2016,2020,2021,2015-2016,2020-2021,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,13586854.375370149,383112155.1832348,369525300.80786455,377137475.6917816,100,4197654321.829352,4896245553.88433,0.07702585001942719,0.08803137954599943,0.1
Azerbaijan,AZE,31,2015,2016,2020,2021,2015-2016,2020-2021,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),812008533.5808531,2203582556.1209292,1391574022.5400763,1391574022.5400763,419,4197654321.829352,4896245553.88433,0.28421246590381916,0.3315122961181862,0.1
Azerbaijan,AZE,31,2016,2017,2021,2022,2016-2017,2021-2022,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,persistent_new_product,Persistent new HS4 products,89000504.24776146,491677218.56513387,402676714.3173723,404954070.9452525,97,14765413806.61349,15065367693.621344,0.026879800027496806,0.027271617280174822,0.1
Azerbaijan,AZE,31,2016,2017,2021,2022,2016-2017,2021-2022,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,bottom_10pct_low_base_growth,Low-base product growth (bottom 10% of base-window exports),1603915579.2225015,3264859690.284572,1660944111.0620708,1660944111.0620708,438,14765413806.61349,15065367693.621344,0.11024915852304835,0.11248882915276828,0.1
